2014/06/02 14:17:37 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2014/06/02 14:17:38 INFO  - jmeter.JMeter: Loading user properties from: /Users/kkirch/bin/homebrew/Cellar/jmeter/2.11/libexec/bin/user.properties 
2014/06/02 14:17:38 INFO  - jmeter.JMeter: Loading system properties from: /Users/kkirch/bin/homebrew/Cellar/jmeter/2.11/libexec/bin/system.properties 
2014/06/02 14:17:38 INFO  - jmeter.JMeter: Copyright (c) 1998-2014 The Apache Software Foundation 
2014/06/02 14:17:38 INFO  - jmeter.JMeter: Version 2.11 r1554548 
2014/06/02 14:17:38 INFO  - jmeter.JMeter: java.version=1.8.0 
2014/06/02 14:17:38 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2014/06/02 14:17:38 INFO  - jmeter.JMeter: os.name=Mac OS X 
2014/06/02 14:17:38 INFO  - jmeter.JMeter: os.arch=x86_64 
2014/06/02 14:17:38 INFO  - jmeter.JMeter: os.version=10.9.3 
2014/06/02 14:17:38 INFO  - jmeter.JMeter: file.encoding=UTF-8 
2014/06/02 14:17:38 INFO  - jmeter.JMeter: Default Locale=English (United States) 
2014/06/02 14:17:38 INFO  - jmeter.JMeter: JMeter  Locale=English (United States) 
2014/06/02 14:17:38 INFO  - jmeter.JMeter: JMeterHome=/Users/kkirch/bin/homebrew/Cellar/jmeter/2.11/libexec 
2014/06/02 14:17:38 INFO  - jmeter.JMeter: user.dir  =/Users/kkirch/code/karl/js-flow-control-bench 
2014/06/02 14:17:38 INFO  - jmeter.JMeter: PWD       =/Users/kkirch/code/karl/js-flow-control-bench 
2014/06/02 14:17:38 INFO  - jmeter.JMeter: IP: 10.5.10.177 Name: kkirch.norman.wdtinc.com FullName: kkirch.norman.wdtinc.com 
2014/06/02 14:17:38 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2014/06/02 14:17:50 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2014/06/02 14:17:50 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2014/06/02 14:17:56 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: com.apple.laf.AquaLookAndFeel [Mac OS X, System] 
2014/06/02 14:17:57 INFO  - jmeter.util.BSFTestElement: Registering JMeter version of JavaScript engine as work-round for BSF-22 
2014/06/02 14:17:58 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
2014/06/02 14:17:58 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is  
2014/06/02 14:17:58 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is  
2014/06/02 14:17:58 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is  
2014/06/02 14:17:58 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is  
2014/06/02 14:17:58 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2014/06/02 14:17:58 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.control.gui.WebServiceSamplerGui 
2014/06/02 14:17:59 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.modifier.gui.ParamModifierGui 
2014/06/02 14:18:00 INFO  - jorphan.exec.KeyToolUtils: keytool found at 'keytool' 
2014/06/02 14:18:00 INFO  - jmeter.protocol.http.proxy.ProxyControl: HTTP(S) Test Script Recorder SSL Proxy will use keys that support embedded 3rd party resources in file /Users/kkirch/bin/homebrew/Cellar/jmeter/2.11/libexec/bin/proxyserver.jks 
2014/06/02 14:18:01 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2014/06/02 14:18:01 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
2014/06/02 14:18:01 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
2014/06/02 14:18:01 INFO  - jmeter.samplers.SampleResult: sampleresult.nanoThreadSleep=5000 
2014/06/02 14:19:36 INFO  - jmeter.services.FileServer: Default base='/Users/kkirch/code/karl/js-flow-control-bench' 
2014/06/02 14:19:36 INFO  - jmeter.gui.action.Load: Loading file: /Users/kkirch/code/karl/deploying-nodejs-with-pm2-okcjs-slides/Bench.jmx 
2014/06/02 14:19:36 INFO  - jmeter.services.FileServer: Set new base='/Users/kkirch/code/karl/deploying-nodejs-with-pm2-okcjs-slides' 
2014/06/02 14:19:37 INFO  - jmeter.save.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2 
2014/06/02 14:19:37 INFO  - jmeter.save.SaveService: Using SaveService properties file encoding UTF-8 
2014/06/02 14:19:37 INFO  - jmeter.save.SaveService: Using SaveService properties version 2.6 
2014/06/02 14:19:37 INFO  - jmeter.save.SaveService: Using SaveService properties file version 1554411 
